"","the.eletricity.sell.amount.per.day"
"1",15.1058348966316
"2",15.124214660032
"3",15.1235130527929
"4",14.38072777144
"5",15.2382730492776
"6",12.8620785494094
"7",14.6836222988646
"8",15.1406691353968
"9",14.7067948179994
"10",14.901999994229
"11",15.4366311612353
"12",14.1997792679288
"13",14.8936946036795
"14",15.0270315032635
"15",14.0473196547522
"16",15.7869980848841
"17",13.8834813072623
"18",14.2681003170603
"19",13.3140542382022
"20",13.5559143588665
"21",14.7207876618852
"22",14.8454727735262
"23",13.9517096391415
"24",13.9731192519628
"25",15.7200195269466
"26",13.9897554192203
"27",14.3421857117052
"28",15.4391949062975
"29",15.5802408411056
"30",15.1250194425357
"31",15.4309697063189
"32",14.9170040253812
"33",15.5844982062001
"34",14.0384764935057
"35",13.8343372189642
"36",12.9241197342664
"37",15.051390957355
"38",15.2818616266597
"39",15.7332847192402
"40",13.9915130246297
"41",14.5173880184872
"42",13.9180815866183
"43",14.8794855070898
"44",14.4761536582063
"45",12.998051072385
"46",13.1923501548031
"47",13.5496278108901
"48",13.2167640528258
"49",13.5903512263294
"50",14.3238354575243
"51",12.7144071690809
"52",14.1476979132938
"53",13.1738128595939
"54",13.8618061847895
"55",14.2716941286091
"56",13.5295430148667
"57",14.1113103424546
"58",14.4989452243904
"59",14.6799474173037
"60",12.6943796169409
"61",12.7779952501217
